! This profile dataset was generated at ECMWF by Marco Matricardi, April 2008.
! Details on the profile dataset can be found in:
! Marco Matricardi, 2008, "The generation of RTTOV regression
! coefficients for IASI and AIRS using a new profile training set and a new
! line-by-line database", ECMWF Technical memorandum No. 564.
! http://www.ecmwf.int/publications/library/ecpublications/_pdf/tm/501-600/tm564.pdf
!
!
!
!  ECMWF 83 diverse profiles on 101 levels
!  Profile 81 is an envelope of minimum values
!  Profile 82 is an envelope of maximum values
!  Profile 83 is the mean profile
!  Format:
!  Profile number
!  Year     Month     Day     Latitude     Longitude     Surface Pressure     Land(1)/Sea(0) mask
!  P(hPa)         T(K)           Wv(ppmv)       CO2(ppmv)      O3(ppmv)       N2O(ppmv)      CO(ppmv)       CH4(ppmv)
Profile     1
   2007      2        20        57.00200   -68.80000     977.38452             0.93520
   0.895204E+02   0.215942E+03   0.405763E+01   0.376447E+03   0.127471E+01   0.168800E+00   0.461665E-01   0.155726E+01
   0.961138E+02   0.216775E+03   0.408041E+01   0.376936E+03   0.125735E+01   0.183380E+00   0.500695E-01   0.163875E+01
   0.103017E+03   0.217303E+03   0.410884E+01   0.377303E+03   0.135458E+01   0.197860E+00   0.540429E-01   0.168606E+01
   0.110237E+03   0.217719E+03   0.413268E+01   0.377686E+03   0.133723E+01   0.212140E+00   0.585358E-01   0.173553E+01
   0.117778E+03   0.217992E+03   0.416897E+01   0.377974E+03   0.128944E+01   0.226100E+00   0.625256E-01   0.176842E+01
   0.125646E+03   0.218271E+03   0.420164E+01   0.378193E+03   0.110192E+01   0.239650E+00   0.661147E-01   0.178882E+01
   0.133846E+03   0.218505E+03   0.424642E+01   0.378412E+03   0.924560E+00   0.252660E+00   0.700364E-01   0.180788E+01
   0.142385E+03   0.218878E+03   0.426788E+01   0.378589E+03   0.818390E+00   0.264990E+00   0.741281E-01   0.181490E+01
   0.151266E+03   0.218979E+03   0.437900E+01   0.378773E+03   0.629913E+00   0.276510E+00   0.786380E-01   0.182221E+01
   0.160496E+03   0.218799E+03   0.458116E+01   0.378962E+03   0.540522E+00   0.287070E+00   0.844370E-01   0.182502E+01
   0.170078E+03   0.218879E+03   0.516925E+01   0.379159E+03   0.529599E+00   0.296500E+00   0.912320E-01   0.182625E+01
   0.180018E+03   0.219226E+03   0.631538E+01   0.379411E+03   0.519677E+00   0.304640E+00   0.993283E-01   0.182790E+01
   0.190320E+03   0.219336E+03   0.788118E+01   0.379761E+03   0.492643E+00   0.307980E+00   0.109428E+00   0.183036E+01
   0.200989E+03   0.218530E+03   0.111713E+02   0.380124E+03   0.447532E+00   0.311030E+00   0.120977E+00   0.183290E+01
   0.212028E+03   0.216593E+03   0.183309E+02   0.380624E+03   0.357037E+00   0.313740E+00   0.135377E+00   0.183625E+01
   0.223442E+03   0.215502E+03   0.252613E+02   0.381141E+03   0.224527E+00   0.316070E+00   0.152071E+00   0.183971E+01
   0.235234E+03   0.215317E+03   0.280468E+02   0.381681E+03   0.181049E+00   0.317970E+00   0.167679E+00   0.184384E+01
   0.247408E+03   0.215652E+03   0.349988E+02   0.382239E+03   0.168218E+00   0.319400E+00   0.183628E+00   0.184835E+01
   0.259969E+03   0.216439E+03   0.490553E+02   0.382782E+03   0.152341E+00   0.320290E+00   0.198306E+00   0.185288E+01
   0.272919E+03   0.217564E+03   0.695404E+02   0.383292E+03   0.122615E+00   0.320600E+00   0.209618E+00   0.185731E+01
   0.286262E+03   0.218817E+03   0.796122E+02   0.383780E+03   0.932764E-01   0.320600E+00   0.220664E+00   0.186166E+01
   0.300000E+03   0.220368E+03   0.925806E+02   0.384095E+03   0.876687E-01   0.320600E+00   0.226187E+00   0.186497E+01
   0.314137E+03   0.222084E+03   0.970528E+02   0.384418E+03   0.842923E-01   0.320600E+00   0.232015E+00   0.186836E+01
   0.328675E+03   0.223885E+03   0.947200E+02   0.384561E+03   0.795810E-01   0.320600E+00   0.233799E+00   0.187023E+01
   0.343618E+03   0.225701E+03   0.102569E+03   0.384701E+03   0.711210E-01   0.320600E+00   0.235464E+00   0.187208E+01
   0.358966E+03   0.227594E+03   0.135846E+03   0.384787E+03   0.645857E-01   0.320600E+00   0.236145E+00   0.187347E+01
   0.374724E+03   0.229555E+03   0.177689E+03   0.384862E+03   0.610261E-01   0.320600E+00   0.236554E+00   0.187477E+01
   0.390893E+03   0.231546E+03   0.227450E+03   0.384932E+03   0.596847E-01   0.320600E+00   0.236789E+00   0.187589E+01
   0.407474E+03   0.233503E+03   0.285843E+03   0.385001E+03   0.599120E-01   0.320600E+00   0.236927E+00   0.187694E+01
   0.424470E+03   0.235340E+03   0.365365E+03   0.385092E+03   0.597260E-01   0.320600E+00   0.237000E+00   0.187793E+01
   0.441882E+03   0.237075E+03   0.445904E+03   0.385197E+03   0.586959E-01   0.320600E+00   0.237019E+00   0.187889E+01
   0.459712E+03   0.238685E+03   0.514214E+03   0.385347E+03   0.565580E-01   0.320600E+00   0.236940E+00   0.188006E+01
   0.477961E+03   0.240279E+03   0.586841E+03   0.385529E+03   0.546499E-01   0.320600E+00   0.236766E+00   0.188138E+01
   0.496630E+03   0.241914E+03   0.671499E+03   0.385767E+03   0.531538E-01   0.320600E+00   0.236583E+00   0.188307E+01
   0.515720E+03   0.243590E+03   0.770314E+03   0.386041E+03   0.521029E-01   0.320600E+00   0.236391E+00   0.188500E+01
   0.535232E+03   0.245288E+03   0.884119E+03   0.386372E+03   0.517158E-01   0.320600E+00   0.236388E+00   0.188725E+01
   0.555167E+03   0.246915E+03   0.100563E+04   0.386729E+03   0.509154E-01   0.320600E+00   0.236506E+00   0.188964E+01
   0.575525E+03   0.248470E+03   0.113377E+04   0.387142E+03   0.499895E-01   0.320600E+00   0.236927E+00   0.189244E+01
   0.596306E+03   0.249926E+03   0.124530E+04   0.387571E+03   0.492681E-01   0.320600E+00   0.237449E+00   0.189543E+01
   0.617511E+03   0.251284E+03   0.134273E+04   0.388019E+03   0.506775E-01   0.320600E+00   0.238534E+00   0.189893E+01
   0.639140E+03   0.252683E+03   0.133982E+04   0.388494E+03   0.535054E-01   0.320600E+00   0.239924E+00   0.190296E+01
   0.661192E+03   0.254113E+03   0.119841E+04   0.389000E+03   0.565842E-01   0.320600E+00   0.241979E+00   0.190767E+01
   0.683667E+03   0.255545E+03   0.973975E+03   0.389503E+03   0.586496E-01   0.320600E+00   0.244665E+00   0.191286E+01
   0.706565E+03   0.256944E+03   0.889733E+03   0.389955E+03   0.592703E-01   0.320600E+00   0.247729E+00   0.191768E+01
   0.729886E+03   0.258307E+03   0.103354E+04   0.390316E+03   0.603294E-01   0.320600E+00   0.251113E+00   0.192178E+01
   0.753628E+03   0.259679E+03   0.134580E+04   0.390464E+03   0.614500E-01   0.320600E+00   0.255441E+00   0.192362E+01
   0.777790E+03   0.260962E+03   0.175216E+04   0.390555E+03   0.613430E-01   0.320600E+00   0.260572E+00   0.192469E+01
   0.802371E+03   0.261965E+03   0.227289E+04   0.390657E+03   0.595766E-01   0.320600E+00   0.265712E+00   0.192530E+01
   0.827371E+03   0.262927E+03   0.285501E+04   0.390823E+03   0.571761E-01   0.320600E+00   0.268282E+00   0.192572E+01
   0.852788E+03   0.264182E+03   0.330473E+04   0.390986E+03   0.560769E-01   0.320600E+00   0.265606E+00   0.192524E+01
   0.878620E+03   0.265441E+03   0.358459E+04   0.391032E+03   0.548075E-01   0.320600E+00   0.259007E+00   0.192418E+01
   0.904866E+03   0.265857E+03   0.367484E+04   0.391107E+03   0.464844E-01   0.320600E+00   0.252841E+00   0.192372E+01
   0.931524E+03   0.264623E+03   0.329250E+04   0.391170E+03   0.321507E-01   0.320600E+00   0.248545E+00   0.192334E+01
   0.958591E+03   0.262807E+03   0.261605E+04   0.391220E+03   0.272398E-01   0.320600E+00   0.246272E+00   0.192303E+01
   0.986067E+03   0.263178E+03   0.263489E+04   0.391256E+03   0.247128E-01   0.320600E+00   0.245220E+00   0.192281E+01
   0.101395E+04   0.263178E+03   0.256225E+04   0.391279E+03   0.247128E-01   0.320600E+00   0.244212E+00   0.192267E+01
   0.104223E+04   0.263178E+03   0.249253E+04   0.391286E+03   0.247128E-01   0.320600E+00   0.243195E+00   0.192263E+01
   0.107092E+04   0.263178E+03   0.242560E+04   0.391286E+03   0.247128E-01   0.320600E+00   0.242167E+00   0.192263E+01
   0.110000E+04   0.263178E+03   0.236131E+04   0.391286E+03   0.247128E-01   0.320600E+00   0.241129E+00   0.192263E+01
Profile     2
   2006      8         1        28.67000    61.00000     772.69928             1.00000
   0.500000E-02   0.176400E+03   0.336952E+01   0.374126E+03   0.130121E+00   0.901000E-02   0.673353E-01   0.318017E+00
   0.161000E-01   0.184038E+03   0.408444E+01   0.374128E+03   0.162677E+00   0.668000E-02   0.651947E-01   0.292358E+00
   0.384000E-01   0.198631E+03   0.532607E+01   0.374132E+03   0.263298E+00   0.495000E-02   0.610975E-01   0.273285E+00
   0.769000E-01   0.217385E+03   0.623022E+01   0.374138E+03   0.537210E+00   0.353000E-02   0.546208E-01   0.261096E+00
   0.137000E+00   0.234345E+03   0.640057E+01   0.374147E+03   0.901688E+00   0.267000E-02   0.458552E-01   0.266074E+00
   0.224400E+00   0.246929E+03   0.634970E+01   0.374161E+03   0.127567E+01   0.271000E-02   0.355558E-01   0.283124E+00
   0.345400E+00   0.254774E+03   0.617072E+01   0.374192E+03   0.167442E+01   0.383000E-02   0.304634E-01   0.333651E+00
   0.506400E+00   0.259061E+03   0.585780E+01   0.374252E+03   0.205906E+01   0.529000E-02   0.346432E-01   0.381925E+00
   0.714000E+00   0.261420E+03   0.547903E+01   0.374323E+03   0.240369E+01   0.771000E-02   0.335932E-01   0.431157E+00
   0.975300E+00   0.262921E+03   0.513867E+01   0.374372E+03   0.282931E+01   0.833000E-02   0.305908E-01   0.449334E+00
   0.129720E+01   0.263874E+03   0.495148E+01   0.374417E+03   0.333614E+01   0.134700E-01   0.262609E-01   0.536160E+00
   0.168720E+01   0.263079E+03   0.484631E+01   0.374473E+03   0.394183E+01   0.194300E-01   0.218406E-01   0.641987E+00
   0.215260E+01   0.259749E+03   0.473236E+01   0.374528E+03   0.479014E+01   0.256200E-01   0.185574E-01   0.756162E+00
   0.270090E+01   0.254769E+03   0.462355E+01   0.374619E+03   0.582809E+01   0.309800E-01   0.170803E-01   0.841368E+00
   0.333980E+01   0.249514E+03   0.452553E+01   0.374790E+03   0.693857E+01   0.377400E-01   0.169048E-01   0.922222E+00
   0.407700E+01   0.245526E+03   0.443610E+01   0.374956E+03   0.796300E+01   0.488300E-01   0.165914E-01   0.100142E+01
   0.492040E+01   0.243132E+03   0.434322E+01   0.374987E+03   0.870509E+01   0.604900E-01   0.158617E-01   0.106521E+01
