! $Id: diverse_52profiles_101L.dat,v 1.2 2003/07/23 14:10:03 paulv Exp $
! $Revision: 1.2 $
!
!  ECMWF 52 diverse profiles from 60L set 
!  Prof50 = dry test / Prof51 = moist test / Prof52 = mean 
! Number Date/Time    Lat            Long            Ps(hPa)     Land fraction
!    P(hPa)           T(degK)         Wv(kg/kg)     Ozone(kg/kg)
#01 1993091512    0.241073E+02    0.382500E+02    0.972238E+03    0.686249E+00
    0.827371E+03    0.299475E+03    0.488672E-02    0.110106E-06
    0.852788E+03    0.302098E+03    0.483297E-02    0.111591E-06
    0.878620E+03    0.304660E+03    0.478441E-02    0.114037E-06
    0.904866E+03    0.307259E+03    0.475191E-02    0.115001E-06
    0.931523E+03    0.309783E+03    0.472376E-02    0.106658E-06
    0.958591E+03    0.312049E+03    0.470290E-02    0.927719E-07
    0.986066E+03    0.315244E+03    0.794769E-02    0.431351E-07
    0.101395E+04    0.315244E+03    0.772221E-02    0.431351E-07
    0.104223E+04    0.315244E+03    0.750618E-02    0.431351E-07
    0.107092E+04    0.315244E+03    0.729910E-02    0.431351E-07
    0.110000E+04    0.315244E+03    0.710048E-02    0.431351E-07
#02 1992100118   -0.577454E+02    0.112500E+03    0.970487E+03    0.000000E+00
    0.500000E-02    0.178849E+03    0.100000E-05    0.549978E-06
    0.161000E-01    0.172869E+03    0.222483E-05    0.614320E-06
    0.384000E-01    0.191604E+03    0.326782E-05    0.743585E-06
    0.769000E-01    0.214898E+03    0.410832E-05    0.966755E-06
    0.137000E+00    0.230892E+03    0.372026E-05    0.142770E-05
    0.224400E+00    0.236447E+03    0.415930E-05    0.194033E-05
    0.345400E+00    0.243526E+03    0.551536E-05    0.254750E-05
    0.506400E+00    0.252914E+03    0.502739E-05    0.330846E-05
    0.714000E+00    0.257256E+03    0.406938E-05    0.431786E-05
    0.975300E+00    0.255116E+03    0.430520E-05    0.574135E-05
    0.129720E+01    0.250100E+03    0.449587E-05    0.732768E-05
    0.168720E+01    0.245424E+03    0.400462E-05    0.887472E-05
    0.215260E+01    0.241204E+03    0.337183E-05    0.103863E-04
    0.270090E+01    0.236832E+03    0.366034E-05    0.116681E-04
    0.333980E+01    0.233733E+03    0.381710E-05    0.125528E-04
    0.407700E+01    0.233821E+03    0.357078E-05    0.128343E-04
    0.492040E+01    0.235996E+03    0.332694E-05    0.128336E-04
    0.587760E+01    0.239783E+03    0.312845E-05    0.126729E-04
    0.695670E+01    0.242693E+03    0.329616E-05    0.124257E-04
    0.816550E+01    0.243694E+03    0.319344E-05    0.121413E-04
    0.951190E+01    0.242914E+03    0.294041E-05    0.118739E-04
    0.110038E+02    0.243040E+03    0.283121E-05    0.116476E-04
    0.126492E+02    0.243226E+03    0.276010E-05    0.114161E-04
    0.144559E+02    0.242614E+03    0.264842E-05    0.111118E-04
    0.164318E+02    0.241437E+03    0.258524E-05    0.107397E-04
    0.185847E+02    0.239953E+03    0.255092E-05    0.103339E-04
    0.209224E+02    0.238804E+03    0.252057E-05    0.991666E-05
    0.234526E+02    0.237700E+03    0.249066E-05    0.950352E-05
    0.261829E+02    0.236156E+03    0.244535E-05    0.896583E-05
    0.291210E+02    0.234749E+03    0.240952E-05    0.844461E-05
    0.322744E+02    0.234374E+03    0.246594E-05    0.791854E-05
    0.356504E+02    0.234011E+03    0.252054E-05    0.740950E-05
    0.392566E+02    0.233537E+03    0.256487E-05    0.686864E-05
    0.431001E+02    0.233072E+03    0.260751E-05    0.634249E-05
    0.471882E+02    0.233033E+03    0.265620E-05    0.572651E-05
